"","Sample.y","Sample.x","Chr","Start","End","LOD.score","Length..bp.","Length..Mbp.","Site.x","Subspecies.x","Site.y","Subspecies.y","Km_distance","Generations.ago..assuming.1cM.1Mb.","Years..assuming.25y.generation.","LOD2","years"
"2491","Gep2-48","CNPW1-7","chr21",23465831,29166814,"6,81",5700983,"5,70","Comoe","Western","Comoe","Western","26,52","8,77","219,26",219.26,219.26
"2492","Gep2-52","CNPW1-7","chr21",29953857,30739721,"3,11",785864,"0,79","Comoe","Western","Comoe","Western","26,52","63,62","1590,61",1590.61,1590.61
"2493","Gep2-52","CNPW1-7","chr21",26768874,27387005,"3,12",618131,"0,62","Comoe","Western","Comoe","Western","26,52","80,89","2022,23",2022.23,2022.23
"2494","Gep2-52","CNPW1-7","chr21",32571720,37447458,"11,75",4875738,"4,88","Comoe","Western","Comoe","Western","26,52","10,25","256,37",256.37,256.37
"2495","Gep2-53","CNPW1-7","chr21",46035782,47420302,"10,15",1384520,"1,38","Comoe","Western","Comoe","Western","26,52","36,11","902,84",902.84,902.84
"2496","Gep2-53","CNPW1-7","chr21",34875242,36516697,"5,14",1641455,"1,64","Comoe","Western","Comoe","Western","26,52","30,46","761,52",761.52,761.52
"2497","Gep2-53","CNPW1-7","chr21",25197285,30412637,"14,42",5215352,"5,22","Comoe","Western","Comoe","Western","26,52","9,59","239,68",239.68,239.68
"2498","Kay2-41","CNPW1-7","chr21",45959481,46129874,"3,44",170393,"0,17","Comoe","Western","Kayan","Western","1022,34","293,44","7335,98",7335.98,7335.98
"2499","Nim2-35","CNPW1-7","chr21",41039221,41812243,"3,15",773022,"0,77","Comoe","Western","EastNimba","Western","541,29","64,68","1617,03",1617.03,1617.03
"2500","Tai_R2-15","CNPW1-7","chr21",36678195,37443226,"3,25",765031,"0,77","Comoe","Western","Tai","Western","509,63","65,36","1633,92",1633.92,1633.92
"2501","Tai-E2-8","CNPW1-7","chr21",15238502,15489070,"3,05",250568,"0,25","Comoe","Western","Tai","Western","506,14","199,55","4988,67",4988.67,4988.67
"2502","Cnp1-2","CNPW2-29","chr21",15212176,15906248,"3,27",694072,"0,69","Comoe","Western","Comoe","Western","0,00","72,04","1800,97",1800.97,1800.97
"2503","Cnp1-2","CNPW2-29","chr21",42112620,42306169,"3,36",193549,"0,19","Comoe","Western","Comoe","Western","0,00","258,33","6458,31",6458.31,6458.31
"2504","Cnp1-2","CNPW2-29","chr21",22049342,28629564,"6,74",6580222,"6,58","Comoe","Western","Comoe","Western","0,00","7,60","189,96",189.96,189.96
"2505","Cnp1-36","CNPW2-29","chr21",22383286,23087091,"3,26",703805,"0,70","Comoe","Western","Comoe","Western","0,00","71,04","1776,06",1776.06,1776.06
"2506","Cnp1-36","CNPW2-29","chr21",34467611,37241985,"9,36",2774374,"2,77","Comoe","Western","Comoe","Western","0,00","18,02","450,55",450.55,450.55
"2507","Cnp1-36","CNPW2-29","chr21",38590665,40450613,"9,1",1859948,"1,86","Comoe","Western","Comoe","Western","0,00","26,88","672,06",672.06,672.06
"2508","Cnp1-36","CNPW2-29","chr21",44722872,45147409,"3,1",424537,"0,42","Comoe","Western","Comoe","Western","0,00","117,78","2944,38",2944.38,2944.38
"2509","Cnp1-36","CNPW2-29","chr21",41424536,41903147,"3,51",478611,"0,48","Comoe","Western","Comoe","Western","0,00","104,47","2611,72",2611.72,2611.72
"2510","Cnp1-36","CNPW2-29","chr21",24997736,28399178,"3,97",3401442,"3,40","Comoe","Western","Comoe","Western","0,00","14,70","367,49",367.49,367.49
"2511","Cnp1-36","CNPW2-29","chr21",28725827,30922959,"5,72",2197132,"2,20","Comoe","Western","Comoe","Western","0,00","22,76","568,92",568.92,568.92
"2512","Cnp1-36","CNPW2-29","chr21",19066054,20859652,"6,5",1793598,"1,79","Comoe","Western","Comoe","Western","0,00","27,88","696,92",696.92,696.92
"2513","Cnp1-37","CNPW2-29","chr21",43596056,44535182,"3,31",939126,"0,94","Comoe","Western","Comoe","Western","0,00","53,24","1331,02",1331.02,1331.02
"2514","Cnp1-37","CNPW2-29","chr21",38649176,39843979,"3,74",1194803,"1,19","Comoe","Western","Comoe","Western","0,00","41,85","1046,20",1046.2,1046.2
"2515","Cnp1-63","CNPW2-29","chr21",35351164,35975212,"4,28",624048,"0,62","Comoe","Western","Comoe","Western","0,00","80,12","2003,05",2003.05,2003.05
"2516","CNPE1-7","CNPW2-29","chr21",24231274,30818423,"11,55",6587149,"6,59","Comoe","Western","Comoe","Western","4,58","7,59","189,76",189.76,189.76
"2517","CNPE1-7","CNPW2-29","chr21",41912324,42653045,"5,67",740721,"0,74","Comoe","Western","Comoe","Western","4,58","67,50","1687,54",1687.54,1687.54
"2518","CNPE1-7","CNPW2-29","chr21",33404064,36777776,"11,32",3373712,"3,37","Comoe","Western","Comoe","Western","4,58","14,82","370,51",370.51,370.51
"2519","CNPN1-20","CNPW2-29","chr21",18826895,19737521,"3",910626,"0,91","Comoe","Western","Comoe","Western","0,00","54,91","1372,68",1372.68,1372.68
"2520","CNPN1-63","CNPW2-29","chr21",42591961,43519136,"4,91",927175,"0,93","Comoe","Western","Comoe","Western","0,00","53,93","1348,18",1348.18,1348.18
"2521","CNPN1-63","CNPW2-29","chr21",35259110,36577540,"3,28",1318430,"1,32","Comoe","Western","Comoe","Western","0,00","37,92","948,10",948.1,948.1
"2522","CNPW1-16_2","CNPW2-29","chr21",23947638,28618729,"3,86",4671091,"4,67","Comoe","Western","Comoe","Western","0,00","10,70","267,60",267.6,267.6
"2523","CNPW1-7","CNPW2-29","chr21",40982138,41426272,"3,06",444134,"0,44","Comoe","Western","Comoe","Western","0,00","112,58","2814,47",2814.47,2814.47
"2524","CNPW1-7","CNPW2-29","chr21",41968222,42515307,"3,58",547085,"0,55","Comoe","Western","Comoe","Western","0,00","91,39","2284,84",2284.84,2284.84
"2525","CNPW1-7","CNPW2-29","chr21",26204445,31132498,"7,65",4928053,"4,93","Comoe","Western","Comoe","Western","0,00","10,15","253,65",253.65,253.65
"2526","CNPW1-7","CNPW2-29","chr21",45214807,45522385,"3,03",307578,"0,31","Comoe","Western","Comoe","Western","0,00","162,56","4064,01",4064.01,4064.01
"2527","Djo1-13","CNPW2-29","chr21",42665798,43789470,"3,23",1123672,"1,12","Comoe","Western","Djouroutou","Western","535,24","44,50","1112,42",1112.42,1112.42
"2528","Fjn1-21","CNPW2-29","chr21",41573859,41895748,"3,07",321889,"0,32","Comoe","Western","Sobeya","Western","856,10","155,33","3883,33",3883.33,3883.33
"2529","Fouta3-40","CNPW2-29","chr21",42760275,43167857,"3,37",407582,"0,41","Comoe","Western","Bakoun-Sobory","Western","853,03","122,67","3066,87",3066.87,3066.87
"2530","Gbo2-85","CNPW2-29","chr21",26788723,27956257,"3,12",1167534,"1,17","Comoe","Western","Grebo","Western","553,46","42,83","1070,63",1070.63,1070.63
"2531","Gco2-8","CNPW2-29","chr21",42085817,42499222,"3,47",413405,"0,41","Comoe","Western","Sangaredi","Western","1131,02","120,95","3023,67",3023.67,3023.67
"2532","Gco2-8","CNPW2-29","chr21",33819000,34403007,"3,05",584007,"0,58","Comoe","Western","Sangaredi","Western","1131,02","85,62","2140,39",2140.39,2140.39
"2533","Gep1-25","CNPW2-29","chr21",28134073,31940167,"4,99",3806094,"3,81","Comoe","Western","Comoe","Western","26,52","13,14","328,42",328.42,328.42
"2534","Gep2-10","CNPW2-29","chr21",17905645,30721887,"27,92",12816242,"12,82","Comoe","Western","Comoe","Western","26,52","3,90","97,53",97.53,97.53
"2535","Gep2-10","CNPW2-29","chr21",45723896,47610303,"5,64",1886407,"1,89","Comoe","Western","Comoe","Western","26,52","26,51","662,64",662.64,662.64
"2536","Gep2-10","CNPW2-29","chr21",39954157,40396445,"3,05",442288,"0,44","Comoe","Western","Comoe","Western","26,52","113,05","2826,21",2826.21,2826.21
"2537","Gep2-40","CNPW2-29","chr21",19096755,20825724,"4,83",1728969,"1,73","Comoe","Western","Comoe","Western","26,52","28,92","722,97",722.97,722.97
"2538","Gep2-40","CNPW2-29","chr21",36154936,41521142,"19,85",5366206,"5,37","Comoe","Western","Comoe","Western","26,52","9,32","232,94",232.94,232.94
"2539","Gep2-40","CNPW2-29","chr21",15384031,16380779,"3,47",996748,"1,00","Comoe","Western","Comoe","Western","26,52","50,16","1254,08",1254.08,1254.08
"2540","Gep2-40","CNPW2-29","chr21",27356172,32336349,"8,36",4980177,"4,98","Comoe","Western","Comoe","Western","26,52","10,04","251,00",251,251
"2541","Gep2-40","CNPW2-29","chr21",22369503,23438264,"7,07",1068761,"1,07","Comoe","Western","Comoe","Western","26,52","46,78","1169,58",1169.58,1169.58
"2542","Gep2-40","CNPW2-29","chr21",45774861,47525482,"7,67",1750621,"1,75","Comoe","Western","Comoe","Western","26,52","28,56","714,03",714.03,714.03
"2543","Gep2-41","CNPW2-29","chr21",22355508,23968952,"4,61",1613444,"1,61","Comoe","Western","Comoe","Western","26,52","30,99","774,74",774.74,774.74
"2544","Gep2-45","CNPW2-29","chr21",19799354,26092455,"11,64",6293101,"6,29","Comoe","Western","Comoe","Western","26,52","7,95","198,63",198.63,198.63
"2545","Gep2-45","CNPW2-29","chr21",34461296,36081113,"3,67",1619817,"1,62","Comoe","Western","Comoe","Western","26,52","30,87","771,69",771.69,771.69
"2546","Gep2-48","CNPW2-29","chr21",24332722,26805497,"4,09",2472775,"2,47","Comoe","Western","Comoe","Western","26,52","20,22","505,50",505.5,505.5
"2547","Gep2-52","CNPW2-29","chr21",45830968,46815480,"4,07",984512,"0,98","Comoe","Western","Comoe","Western","26,52","50,79","1269,66",1269.66,1269.66
"2548","Gep2-52","CNPW2-29","chr21",34587541,36360518,"6,81",1772977,"1,77","Comoe","Western","Comoe","Western","26,52","28,20","705,03",705.03,705.03
"2549","Gep2-52","CNPW2-29","chr21",23643970,27438290,"9,22",3794320,"3,79","Comoe","Western","Comoe","Western","26,52","13,18","329,44",329.44,329.44
"2550","Gep2-53","CNPW2-29","chr21",22369503,24875596,"11,37",2506093,"2,51","Comoe","Western","Comoe","Western","26,52","19,95","498,78",498.78,498.78
"2551","Gep2-61","CNPW2-29","chr21",23087091,27655943,"4,09",4568852,"4,57","Comoe","Western","Comoe","Western","26,52","10,94","273,59",273.59,273.59
"2552","Kay1-15","CNPW2-29","chr21",42898228,43527265,"3,09",629037,"0,63","Comoe","Western","Kayan","Western","1022,34","79,49","1987,16",1987.16,1987.16
"2553","Nim2-35","CNPW2-29","chr21",45774861,46056095,"3,34",281234,"0,28","Comoe","Western","EastNimba","Western","541,29","177,79","4444,70",4444.7,4444.7
"2554","Con2-38","Con1-12","chr21",32655380,33495905,"4,48",840525,"0,84","Conkouati","Central","Conkouati","Central","0,00","59,49","1487,17",1487.17,1487.17
"2555","Con2-48","Con1-12","chr21",29791859,30417624,"3,21",625765,"0,63","Conkouati","Central","Conkouati","Central","0,00","79,90","1997,55",1997.55,1997.55
"2556","Con2-49","Con1-12","chr21",39960261,41538458,"6,64",1578197,"1,58","Conkouati","Central","Conkouati","Central","0,00","31,68","792,04",792.04,792.04
"2557","Con2-49","Con1-12","chr21",22662243,28528535,"14,23",5866292,"5,87","Conkouati","Central","Conkouati","Central","0,00","8,52","213,08",213.08,213.08
"2558","Con2-56","Con1-12","chr21",19645817,20681013,"6,37",1035196,"1,04","Conkouati","Central","Conkouati","Central","0,00","48,30","1207,50",1207.5,1207.5
"2559","Con2-80","Con1-12","chr21",19849585,21231241,"3,41",1381656,"1,38","Conkouati","Central","Conkouati","Central","0,00","36,19","904,71",904.71,904.71
"2560","Con2-80","Con1-12","chr21",26179106,26581871,"4,16",402765,"0,40","Conkouati","Central","Conkouati","Central","0,00","124,14","3103,55",3103.55,3103.55
"2561","Con2-80","Con1-12","chr21",36909017,37066239,"3,23",157222,"0,16","Conkouati","Central","Conkouati","Central","0,00","318,02","7950,54",7950.54,7950.54
"2562","Con2-80","Con1-12","chr21",14939784,15234210,"3,5",294426,"0,29","Conkouati","Central","Conkouati","Central","0,00","169,82","4245,55",4245.55,4245.55
"2563","Con3-10","Con1-12","chr21",42450326,45352225,"4,3",2901899,"2,90","Conkouati","Central","Conkouati","Central","0,00","17,23","430,75",430.75,430.75
"2564","GB-25-05","Con1-12","chr21",36287135,36669446,"3,29",382311,"0,38","Conkouati","Central","Loango","Central","281,47","130,78","3269,59",3269.59,3269.59
"2565","GB-28-02","Con1-12","chr21",15214980,15640066,"3,33",425086,"0,43","Conkouati","Central","Loango","Central","281,47","117,62","2940,58",2940.58,2940.58
"2566","GB-28-02","Con1-12","chr21",26048835,26623883,"4,48",575048,"0,58","Conkouati","Central","Loango","Central","281,47","86,95","2173,73",2173.73,2173.73
"2567","GB-36-07","Con1-12","chr21",15220355,16190416,"5,59",970061,"0,97","Conkouati","Central","Loango","Central","281,47","51,54","1288,58",1288.58,1288.58
"2568","Lop2-80","Con1-12","chr21",36850709,37049879,"5,13",199170,"0,20","Conkouati","Central","Lope","Central","416,18","251,04","6276,05",6276.05,6276.05
"2569","Lop3-20","Con1-12","chr21",20645703,20825724,"3,24",180021,"0,18","Conkouati","Central","Lope","Central","416,18","277,75","6943,63",6943.63,6943.63
"2570","Con1-12","Con2-38","chr21",32655380,33495905,"4,48",840525,"0,84","Conkouati","Central","Conkouati","Central","0,00","59,49","1487,17",1487.17,1487.17
"2571","Con2-80","Con2-38","chr21",35645823,36499582,"5,61",853759,"0,85","Conkouati","Central","Conkouati","Central","0,00","58,56","1464,11",1464.11,1464.11
"2572","Con3-10","Con2-38","chr21",34907954,35724425,"3,75",816471,"0,82","Conkouati","Central","Conkouati","Central","0,00","61,24","1530,98",1530.98,1530.98
"2573","GB-28-02","Con2-38","chr21",45272328,45570700,"3,05",298372,"0,30","Conkouati","Central","Loango","Central","281,47","167,58","4189,40",4189.4,4189.4
"2574","GB-36-07","Con2-38","chr21",38287764,38837801,"4,11",550037,"0,55","Conkouati","Central","Loango","Central","281,47","90,90","2272,57",2272.57,2272.57
"2575","GB-36-07","Con2-38","chr21",47371557,47817346,"3,3",445789,"0,45","Conkouati","Central","Loango","Central","281,47","112,16","2804,02",2804.02,2804.02
"2576","GB-36-07","Con2-38","chr21",36815219,38018450,"3,07",1203231,"1,20","Conkouati","Central","Loango","Central","281,47","41,55","1038,87",1038.87,1038.87
"2577","Bat1-48","Con2-48","chr21",40605636,40915767,"3,49",310131,"0,31","Conkouati","Central","Bateke","Central","374,34","161,22","4030,55",4030.55,4030.55
"2578","Bat1-48","Con2-48","chr21",26508340,26827224,"3,26",318884,"0,32","Conkouati","Central","Bateke","Central","374,34","156,80","3919,92",3919.92,3919.92
"2579","Bat1-48","Con2-48","chr21",42638712,42874306,"3,55",235594,"0,24","Conkouati","Central","Bateke","Central","374,34","212,23","5305,74",5305.74,5305.74
"2580","Con1-12","Con2-48","chr21",29791859,30417624,"3,21",625765,"0,63","Conkouati","Central","Conkouati","Central","0,00","79,90","1997,55",1997.55,1997.55
"2581","Con2-49","Con2-48","chr21",37573270,37969773,"3,32",396503,"0,40","Conkouati","Central","Conkouati","Central","0,00","126,10","3152,56",3152.56,3152.56
"2582","Con2-49","Con2-48","chr21",31456352,32487993,"3,75",1031641,"1,03","Conkouati","Central","Conkouati","Central","0,00","48,47","1211,66",1211.66,1211.66
"2583","Con2-49","Con2-48","chr21",44011270,47366311,"9,85",3355041,"3,36","Conkouati","Central","Conkouati","Central","0,00","14,90","372,57",372.57,372.57
"2584","Con2-56","Con2-48","chr21",16834420,17552615,"4,27",718195,"0,72","Conkouati","Central","Conkouati","Central","0,00","69,62","1740,47",1740.47,1740.47
"2585","Con2-56","Con2-48","chr21",18908837,19265000,"3,45",356163,"0,36","Conkouati","Central","Conkouati","Central","0,00","140,39","3509,63",3509.63,3509.63
"2586","Con2-56","Con2-48","chr21",44043313,46234907,"8,65",2191594,"2,19","Conkouati","Central","Conkouati","Central","0,00","22,81","570,36",570.36,570.36
"2587","Con2-56","Con2-48","chr21",40141757,40341469,"3,73",199712,"0,20","Conkouati","Central","Conkouati","Central","0,00","250,36","6259,01",6259.01,6259.01
"2588","Con2-80","Con2-48","chr21",20130318,20644596,"3,16",514278,"0,51","Conkouati","Central","Conkouati","Central","0,00","97,22","2430,59",2430.59,2430.59
"2589","Lop2-80","Con2-48","chr21",36998538,37055829,"3,18",57291,"0,06","Conkouati","Central","Lope","Central","416,18","872,74","21818,44",21818.44,21818.44
"2590","Lop2-80","Con2-48","chr21",29512122,29751170,"3,51",239048,"0,24","Conkouati","Central","Lope","Central","416,18","209,16","5229,08",5229.08,5229.08
"2591","Bat1-48","Con2-49","chr21",31890171,32120515,"3,12",230344,"0,23","Conkouati","Central","Bateke","Central","374,34","217,07","5426,67",5426.67,5426.67
"2592","Bat1-48","Con2-49","chr21",30330281,30979431,"6,24",649150,"0,65","Conkouati","Central","Bateke","Central","374,34","77,02","1925,60",1925.6,1925.6
"2593","Bat1-48","Con2-49","chr21",38668301,39011010,"3,37",342709,"0,34","Conkouati","Central","Bateke","Central","374,34","145,90","3647,41",3647.41,3647.41
"2594","Bat1-48","Con2-49","chr21",41703724,41934402,"3",230678,"0,23","Conkouati","Central","Bateke","Central","374,34","216,75","5418,81",5418.81,5418.81
"2595","Bwi1-10","Con2-49","chr21",15226692,15341435,"3,01",114743,"0,11","Conkouati","Central","Bwindi","Eastern","2089,40","435,76","10893,91",10893.91,10893.91
"2596","Con1-12","Con2-49","chr21",39960261,41538458,"6,64",1578197,"1,58","Conkouati","Central","Conkouati","Central","0,00","31,68","792,04",792.04,792.04
"2597","Con1-12","Con2-49","chr21",22662243,28528535,"14,23",5866292,"5,87","Conkouati","Central","Conkouati","Central","0,00","8,52","213,08",213.08,213.08
"2598","Con2-48","Con2-49","chr21",44011270,47366311,"9,85",3355041,"3,36","Conkouati","Central","Conkouati","Central","0,00","14,90","372,57",372.57,372.57
"2599","Con2-48","Con2-49","chr21",31456352,32487993,"3,75",1031641,"1,03","Conkouati","Central","Conkouati","Central","0,00","48,47","1211,66",1211.66,1211.66
"2600","Con2-48","Con2-49","chr21",37573270,37969773,"3,32",396503,"0,40","Conkouati","Central","Conkouati","Central","0,00","126,10","3152,56",3152.56,3152.56
"2601","Con2-80","Con2-49","chr21",28172925,28470013,"3,02",297088,"0,30","Conkouati","Central","Conkouati","Central","0,00","168,30","4207,51",4207.51,4207.51
"2602","Con2-80","Con2-49","chr21",41749397,41968626,"3,29",219229,"0,22","Conkouati","Central","Conkouati","Central","0,00","228,07","5701,80",5701.8,5701.8
"2603","Con2-80","Con2-49","chr21",15252896,15645460,"3,52",392564,"0,39","Conkouati","Central","Conkouati","Central","0,00","127,37","3184,19",3184.19,3184.19
"2604","Con2-80","Con2-49","chr21",39024130,39162238,"3,02",138108,"0,14","Conkouati","Central","Conkouati","Central","0,00","362,04","9050,89",9050.89,9050.89
"2605","GB-25-05","Con2-49","chr21",35005558,36541056,"12,24",1535498,"1,54","Conkouati","Central","Loango","Central","281,47","32,56","814,07",814.07,814.07
"2606","GB-36-07","Con2-49","chr21",17014005,17552615,"3,96",538610,"0,54","Conkouati","Central","Loango","Central","281,47","92,83","2320,79",2320.79,2320.79
"2607","GB-36-07","Con2-49","chr21",28453037,28842664,"3,39",389627,"0,39","Conkouati","Central","Loango","Central","281,47","128,33","3208,20",3208.2,3208.2
"2608","Lop3-20","Con2-49","chr21",16818418,17032605,"3,18",214187,"0,21","Conkouati","Central","Lope","Central","416,18","233,44","5836,02",5836.02,5836.02
"2609","Bat1-48","Con2-56","chr21",29974966,30837519,"5,58",862553,"0,86","Conkouati","Central","Bateke","Central","374,34","57,97","1449,19",1449.19,1449.19
"2610","Con1-12","Con2-56","chr21",19645817,20681013,"6,37",1035196,"1,04","Conkouati","Central","Conkouati","Central","0,00","48,30","1207,50",1207.5,1207.5
"2611","Con2-48","Con2-56","chr21",44043313,46234907,"8,65",2191594,"2,19","Conkouati","Central","Conkouati","Central","0,00","22,81","570,36",570.36,570.36
"2612","Con2-48","Con2-56","chr21",16834420,17552615,"4,27",718195,"0,72","Conkouati","Central","Conkouati","Central","0,00","69,62","1740,47",1740.47,1740.47
"2613","Con2-48","Con2-56","chr21",40141757,40341469,"3,73",199712,"0,20","Conkouati","Central","Conkouati","Central","0,00","250,36","6259,01",6259.01,6259.01
"2614","Con2-48","Con2-56","chr21",18908837,19265000,"3,45",356163,"0,36","Conkouati","Central","Conkouati","Central","0,00","140,39","3509,63",3509.63,3509.63
"2615","Con2-80","Con2-56","chr21",41749397,42019771,"4,2",270374,"0,27","Conkouati","Central","Conkouati","Central","0,00","184,93","4623,23",4623.23,4623.23
"2616","Con2-80","Con2-56","chr21",38947097,39195133,"4,91",248036,"0,25","Conkouati","Central","Conkouati","Central","0,00","201,58","5039,59",5039.59,5039.59
"2617","Con2-80","Con2-56","chr21",43793100,43937766,"3,41",144666,"0,14","Conkouati","Central","Conkouati","Central","0,00","345,62","8640,59",8640.59,8640.59
"2618","Con2-80","Con2-56","chr21",15213413,15637386,"6,66",423973,"0,42","Conkouati","Central","Conkouati","Central","0,00","117,93","2948,30",2948.3,2948.3
"2619","Con2-80","Con2-56","chr21",32596865,32985463,"5,07",388598,"0,39","Conkouati","Central","Conkouati","Central","0,00","128,67","3216,69",3216.69,3216.69
"2620","Con2-80","Con2-56","chr21",41241171,41385785,"5,33",144614,"0,14","Conkouati","Central","Conkouati","Central","0,00","345,75","8643,70",8643.7,8643.7
"2621","GB-11-10","Con2-56","chr21",14946861,15437003,"5,56",490142,"0,49","Conkouati","Central","Loango","Central","281,47","102,01","2550,28",2550.28,2550.28
"2622","GB-11-10","Con2-56","chr21",26215788,26923059,"3,36",707271,"0,71","Conkouati","Central","Loango","Central","281,47","70,69","1767,36",1767.36,1767.36
"2623","GB-25-05","Con2-56","chr21",28252290,28399060,"3,46",146770,"0,15","Conkouati","Central","Loango","Central","281,47","340,67","8516,73",8516.73,8516.73
"2624","GB-25-05","Con2-56","chr21",45809044,46454863,"8,51",645819,"0,65","Conkouati","Central","Loango","Central","281,47","77,42","1935,53",1935.53,1935.53
"2625","GB-25-05","Con2-56","chr21",16701426,16854871,"3,93",153445,"0,15","Conkouati","Central","Loango","Central","281,47","325,85","8146,24",8146.24,8146.24
"2626","GB-25-05","Con2-56","chr21",35874345,36154705,"4,05",280360,"0,28","Conkouati","Central","Loango","Central","281,47","178,34","4458,55",4458.55,4458.55
"2627","GB-25-05","Con2-56","chr21",26033510,26255644,"3,06",222134,"0,22","Conkouati","Central","Loango","Central","281,47","225,09","5627,23",5627.23,5627.23
"2628","GB-25-05","Con2-56","chr21",28551714,28711783,"3,06",160069,"0,16","Conkouati","Central","Loango","Central","281,47","312,37","7809,13",7809.13,7809.13
"2629","GB-25-05","Con2-56","chr21",15223352,15490085,"4,77",266733,"0,27","Conkouati","Central","Loango","Central","281,47","187,45","4686,33",4686.33,4686.33
"2630","GB-28-02","Con2-56","chr21",17040247,17198225,"3,53",157978,"0,16","Conkouati","Central","Loango","Central","281,47","316,50","7912,49",7912.49,7912.49
"2631","GB-28-02","Con2-56","chr21",16701426,16854871,"3,02",153445,"0,15","Conkouati","Central","Loango","Central","281,47","325,85","8146,24",8146.24,8146.24
"2632","GB-28-02","Con2-56","chr21",15222749,15262249,"3,15",39500,"0,04","Conkouati","Central","Loango","Central","281,47","1265,82","31645,57",31645.57,31645.57
"2633","Lop2-80","Con2-56","chr21",33969879,34244014,"3,06",274135,"0,27","Conkouati","Central","Lope","Central","416,18","182,39","4559,80",4559.8,4559.8
"2634","Lop3-20","Con2-56","chr21",47443527,48045988,"6,47",602461,"0,60","Conkouati","Central","Lope","Central","416,18","82,99","2074,82",2074.82,2074.82
"2635","Lop3-20","Con2-56","chr21",40412579,40915767,"4,6",503188,"0,50","Conkouati","Central","Lope","Central","416,18","99,37","2484,16",2484.16,2484.16
"2636","Lop3-20","Con2-56","chr21",23483603,23813968,"3,09",330365,"0,33","Conkouati","Central","Lope","Central","416,18","151,35","3783,69",3783.69,3783.69
"2637","Con1-12","Con2-80","chr21",19849585,21231241,"3,41",1381656,"1,38","Conkouati","Central","Conkouati","Central","0,00","36,19","904,71",904.71,904.71
"2638","Con1-12","Con2-80","chr21",14939784,15234210,"3,5",294426,"0,29","Conkouati","Central","Conkouati","Central","0,00","169,82","4245,55",4245.55,4245.55
"2639","Con1-12","Con2-80","chr21",26179106,26581871,"4,16",402765,"0,40","Conkouati","Central","Conkouati","Central","0,00","124,14","3103,55",3103.55,3103.55
"2640","Con1-12","Con2-80","chr21",36909017,37066239,"3,23",157222,"0,16","Conkouati","Central","Conkouati","Central","0,00","318,02","7950,54",7950.54,7950.54
"2641","Con2-38","Con2-80","chr21",35645823,36499582,"5,61",853759,"0,85","Conkouati","Central","Conkouati","Central","0,00","58,56","1464,11",1464.11,1464.11
"2642","Con2-48","Con2-80","chr21",20130318,20644596,"3,16",514278,"0,51","Conkouati","Central","Conkouati","Central","0,00","97,22","2430,59",2430.59,2430.59
"2643","Con2-49","Con2-80","chr21",28172925,28470013,"3,02",297088,"0,30","Conkouati","Central","Conkouati","Central","0,00","168,30","4207,51",4207.51,4207.51
"2644","Con2-49","Con2-80","chr21",39024130,39162238,"3,02",138108,"0,14","Conkouati","Central","Conkouati","Central","0,00","362,04","9050,89",9050.89,9050.89
"2645","Con2-49","Con2-80","chr21",15252896,15645460,"3,52",392564,"0,39","Conkouati","Central","Conkouati","Central","0,00","127,37","3184,19",3184.19,3184.19
"2646","Con2-49","Con2-80","chr21",41749397,41968626,"3,29",219229,"0,22","Conkouati","Central","Conkouati","Central","0,00","228,07","5701,80",5701.8,5701.8
"2647","Con2-56","Con2-80","chr21",41749397,42019771,"4,2",270374,"0,27","Conkouati","Central","Conkouati","Central","0,00","184,93","4623,23",4623.23,4623.23
"2648","Con2-56","Con2-80","chr21",43793100,43937766,"3,41",144666,"0,14","Conkouati","Central","Conkouati","Central","0,00","345,62","8640,59",8640.59,8640.59
"2649","Con2-56","Con2-80","chr21",41241171,41385785,"5,33",144614,"0,14","Conkouati","Central","Conkouati","Central","0,00","345,75","8643,70",8643.7,8643.7
"2650","Con2-56","Con2-80","chr21",15213413,15637386,"6,66",423973,"0,42","Conkouati","Central","Conkouati","Central","0,00","117,93","2948,30",2948.3,2948.3
"2651","Con2-56","Con2-80","chr21",32596865,32985463,"5,07",388598,"0,39","Conkouati","Central","Conkouati","Central","0,00","128,67","3216,69",3216.69,3216.69
"2652","Con2-56","Con2-80","chr21",38947097,39195133,"4,91",248036,"0,25","Conkouati","Central","Conkouati","Central","0,00","201,58","5039,59",5039.59,5039.59
"2653","Con3-10","Con2-80","chr21",35411371,35724425,"3,05",313054,"0,31","Conkouati","Central","Conkouati","Central","0,00","159,72","3992,92",3992.92,3992.92
"2654","Con3-10","Con2-80","chr21",43406343,46086092,"6,11",2679749,"2,68","Conkouati","Central","Conkouati","Central","0,00","18,66","466,46",466.46,466.46
"2655","GB-11-10","Con2-80","chr21",47388655,48055144,"4,25",666489,"0,67","Conkouati","Central","Loango","Central","281,47","75,02","1875,50",1875.5,1875.5
"2656","GB-11-10","Con2-80","chr21",41033803,41246070,"5,56",212267,"0,21","Conkouati","Central","Loango","Central","281,47","235,55","5888,81",5888.81,5888.81
"2657","GB-11-10","Con2-80","chr21",27819774,27957675,"3,02",137901,"0,14","Conkouati","Central","Loango","Central","281,47","362,58","9064,47",9064.47,9064.47
"2658","GB-11-10","Con2-80","chr21",46348235,46656131,"4,8",307896,"0,31","Conkouati","Central","Loango","Central","281,47","162,39","4059,81",4059.81,4059.81
"2659","GB-11-10","Con2-80","chr21",15230780,16190416,"10,05",959636,"0,96","Conkouati","Central","Loango","Central","281,47","52,10","1302,58",1302.58,1302.58
